,,0,1,2,3,4,5,6,7,8
20150101,0,01/01/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,23.666666666666668,State of Alaska DEC
20150102,0,01/02/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,16.899999999999999,State of Alaska DEC
20150103,0,01/03/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,21.041666666666668,State of Alaska DEC
20150104,0,01/04/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,33.772727272727273,State of Alaska DEC
20150105,0,01/05/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,53.708333333333336,State of Alaska DEC
20150106,0,01/06/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,42.31818181818182,State of Alaska DEC
20150107,0,01/07/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,62.208333333333336,State of Alaska DEC
20150108,0,01/08/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,38.208333333333336,State of Alaska DEC
20150109,0,01/09/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,23.833333333333332,State of Alaska DEC
20150110,0,01/10/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,20.086956521739129,State of Alaska DEC
20150111,0,01/11/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,24.166666666666668,State of Alaska DEC
20150112,0,01/12/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,17.833333333333332,State of Alaska DEC
20150113,0,01/13/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,14.541666666666666,State of Alaska DEC
20150114,0,01/14/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,17.916666666666668,State of Alaska DEC
20150115,0,01/15/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,16.583333333333332,State of Alaska DEC
20150116,0,01/16/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,12.608695652173912,State of Alaska DEC
20150117,0,01/17/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,18.5,State of Alaska DEC
20150118,0,01/18/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,37.041666666666664,State of Alaska DEC
20150119,0,01/19/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,15.958333333333334,State of Alaska DEC
20150120,0,01/20/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,19.75,State of Alaska DEC
20150121,0,01/21/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,23.958333333333332,State of Alaska DEC
20150122,0,01/22/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,14.0,State of Alaska DEC
20150123,0,01/23/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,4.333333333333333,State of Alaska DEC
20150125,0,01/25/15,19:00,020900034,NCore,-9,PM2.5,UG/M3,11.6,State of Alaska DEC
20150126,0,01/26/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,28.833333333333332,State of Alaska DEC
20150127,0,01/27/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,56.416666666666664,State of Alaska DEC
20150128,0,01/28/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,69.708333333333329,State of Alaska DEC
20150129,0,01/29/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,58.347826086956523,State of Alaska DEC
20150130,0,01/30/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,52.454545454545453,State of Alaska DEC
20150131,0,01/31/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,53.833333333333336,State of Alaska DEC
20150201,0,02/01/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,52.739130434782609,State of Alaska DEC
20150202,0,02/02/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,27.666666666666668,State of Alaska DEC
20150203,0,02/03/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,35.125,State of Alaska DEC
20150204,0,02/04/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,33.583333333333336,State of Alaska DEC
20150205,0,02/05/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,52.260869565217391,State of Alaska DEC
20150206,0,02/06/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,52.043478260869563,State of Alaska DEC
20150207,0,02/07/15,00:00,020900034,NCore,-9,PM2.5,UG/M3,47.375,State of Alaska DEC
